KNBSB_Name,FullName,Team_Year
KOOIJ vd,Hugo van der Kooij,Mampaey Hawks_2012
KOOT,Mitchell Koot,DSS_2014
KORFF,Jurriaan Korff,Twins_2013
KORFF Jurriaan,Jurriaan Korff,Twins_2013
KORTSTAMR,Raoell Kortstam,HCAW_2015
KRAM,Martin Kram,Silicon Storks_2017
KRAM Martin,Martin Kram,Silicon Storks_2017
KROFT,Jelle Kroft,Onze Gezellen_2017
KROFT Jelle,Jelle Kroft,Onze Gezellen_2017
KRUTZEN,Jesper Krutzen,Mampaey Hawks_2012
KRUTZEN Jesper,Jesper Krutzen,Mampaey Hawks_2012
KUIJPER,Donny Kuijper,DSS_2018
KUZYK,Branden Kuzyk,Twins_2015
LAAR v B,Brian van Laar,Quick Amersfoort_2017
LAAR v Brian,Brian van Laar,Quick Amersfoort_2017
LAAR v C,Colin van Laar,Quick Amersfoort_2017
LAAR v Colin,Colin van Laar,Quick Amersfoort_2017
LAMMERTS,Allard Lammerts van Bueren,Euro Stars_2011
LAMMERTS,Allard Lammerts van Bueren,Onze Gezellen_2017
LAMPE,Reginald Lampe,L&D Amsterdam Pirates_2018
LATTA,Matthew Latta,Twins_2013
LATTA,Matthew Latta,Twins_2015
LATTA Matthew,Matthew Latta,Twins_2013
LATTA Matthew ,Matthew Latta,Twins_2015
LAURENS,Roland Laurens,HCAW_2014
LAURENS Roland,Roland Laurens,HCAW_2014
LAVIEREN v,Kim van Lavieren,UVV_2013
LAVIEREN v Kim,Kim van Lavieren,UVV_2013
LEMMINK,Jenk Lemmink,Kinheim_2018
LEMMINK,Jenk Lemmink,Kinheim_2019
LEMMINK,Jenk Lemmink,Onze Gezellen_2017
LEONARD,Carlos Leonard,Quick Amersfoort_2017
LEUVEN v,Tim van Leuven,Onze Gezellen_2017
LEUVEN v Tim,Tim van Leuven,Onze Gezellen_2017
LITH,Gilian van Lith,UVV_2013
LITH Gillian,Gilian van Lith,UVV_2013
LUGTMEIJER,Arthur Lugtmeijer,HCAW_2017
LUGTMEIJER,Arthur Lugtmeijer,HCAW_2018
MARCUSSEN,Alex Marcussen,DSS_2015
MARCUSSEN A,Alex Marcussen,DSS_2015
MARTINA,Jerreau Martina,Twins_2013
MARTIS,Aldrin Martis,Euro Stars_2011
MASTENBROEK,Barry Mastenbroek,Hoofddorp Pioniers_2011
McCARTAN,Niels McCartan,Mampaey Hawks_2013
MEER vd,Bob van der Meer,Twins_2015
MEEUWIS,Martijn Meeuwis,Twins_2013
MICA,Nils Mica,Onze Gezellen_2017
MILDE de,Roy de Milde,Twins_2013
MINER,Ryan Miner,DSS_2014
MOLENAAR,Molenaar,Twins_2015
MOLENAAR L,Lars Molenaar,Twins_2013
MOLENAAR M,Mick Molenaar,Twins_2013
MORALES,Al Morales,Kinheim_2018
MORALES,Al Morales,Kinheim_2019
MORALES Al,Al Morales,Kinheim_2018
MORALES Al,Al Morales,Kinheim_2019
MULLER,Jay-Jay Muller,Quick Amersfoort_2017
MULLER Jay-Jay,Jay-Jay Muller,Quick Amersfoort_2017
NAAKTGEBOREN,Ruud Naaktgeboren,DSS_2014
NABER,Joris Naber,Mampaey Hawks_2012
NAKASHIMAhogo,Shogo Nakashima,Twins_2018
NICHOLAS,Shairon Nicholas,Quick Amersfoort_2017
NOORDZIJ,Kevin Noordzij,Mampaey Hawks_2012
NOORDZIJ Kevin,Kevin Noordzij,Mampaey Hawks_2012
NUFFEL v,Ben Van Nuffel,Twins_2015
NUFFEL v Ben,Ben Van Nuffel,Twins_2015
NUIJTEN,Duco Nuijten,Hoofddorp Pioniers_2016
NUTS,Dylan Nuts,Euro Stars_2011
OBISPOudwin,Ludwin Obispo,AdoLakers_2010
OBISPOudwin,Ludwin Obispo,AdoLakers_2012
OBISPOudwin,Ludwin Obispo,AdoLakers_2013
OCILIA,Randy Ocillia,AdoLakers_2012
OCILIA,Carlos Ocilia,AdoLakers_2013
OCILIA Carlos,Carlos Ocilia,AdoLakers_2013
OELEaurens,Laurens Oele,AdoLakers_2011
OELEaurens,Laurens Oele,AdoLakers_2012
OELEaurens,Laurens Oele,AdoLakers_2013
OELEaurens,Laurens Oele,Mampaey Hawks_2015
OOSTERWIJK,Ronald Oosterwijk,Onze Gezellen_2017
OOSTERWIJK Ronald,Ronald Oosterwijk,Onze Gezellen_2017
ORMAN,Jeldwin Orman,Kinheim_2019
OVERMAN,Jurien Overman,HCAW_2015
PATIST,Mike Patist,UVV_2010
PEELS,Nick Peels,Twins_2015
PEREZ,Giovanni Perez,Silicon Storks_2017
PETIT,Sem Petit,Silicon Storks_2017
PHELIPA,Soekarno Phelipa,Sparta-Feyenoord_2011
PITERNELLA,Ruendrick Piternella,Curacao Neptunus_2017
PLOEGER,Jim Ploeger,UVV_2014
PLOEGER Jim,Jim Ploeger,UVV_2014
PLOEGSTRA,Max Ploegstra,DSS_2014
PLOEGSTRA Max,Max Ploegstra,DSS_2014
POPKEN,Jasper Popken,HCAW_2017
POPKEN Jasper,Jasper Popken,HCAW_2017
POSTELMANS,Koen Postelmans,Twins_2018
POSTELMANS Koen,Koen Postelmans,Twins_2018
PRINScott,Scott Prins,DSS_2019
PRONK,Jochem Pronk,Euro Stars_2011
REDAN,Irving Redan,Twins_2015
REDAN Ibrahim,Irving Redan,AdoLakers_2012
REEMST,Rowald Reemst,Quick Amersfoort_2017
REEMST Rowald,Rowald Reemst,Quick Amersfoort_2017
RIBBENS,Dennis Ribbens,UVV_2014
RICARDO,Dashenko Ricardo,Curacao Neptunus_2016
RIFAELA,Jhan Rifaele,L&D Amsterdam Pirates_2019
RIJNBERGEN,Brandon Rijnbergen,UVV_2011
ROMNEY,Patt Romney,UVV_2010
RONNENBERG Scott,Scott Ronnenbergh,Hoofddorp Pioniers_2013
RONNENBERGH,Scott Ronnenbergh,Hoofddorp Pioniers_2011
RONNENBERGH,Scott Ronnenbergh,Hoofddorp Pioniers_2013
RONNENBERGH Scott,Scott Ronnenbergh,Hoofddorp Pioniers_2011
RONNENBERGHcott,Scott Ronnenbergh,Almere Magpies_2010
RONNENBERGHcott,Scott Ronnenbergh,Hoofddorp Pioniers_2014
RONNENBERGHcott,Scott Ronnenbergh,Hoofddorp Pioniers_2017
RONNENBERGHcott,Scott Ronnenbergh,Kinheim_2016
RONNENBERGHS,Scott Ronnenbergh,Almere Magpies_2010
ROODENBURG,Tim Roodenburg,DSS_2014
ROOVERS,Kevin Roovers,Twins_2013
ROOVERS Kevin,Kevin Roovers,Twins_2013
ROSARIA,Luigino Rosaria,Quick Amersfoort_2017
ROZA,Randrick Roza,AdoLakers_2013
RUIZ,Jeffrey Ruiz,AdoLakers_2013
RUTTE,Raymond Rutte,Kinheim_2013
RUTTE R,Raymond Rutte,Onze Gezellen_2017
RUTTE Raymond,Raymond Rutte,Kinheim_2013
RUTTE Raymond,Raymond Rutte,Onze Gezellen_2017
SAMIENTO CLA,Reynaldo Sarmiento Claro,AdoLakers_2010
SAMIENTO CLARO R,Reynaldo Sarmiento Claro,AdoLakers_2010
SAMS,Kalian Sams,Curacao Neptunus_2013
SAMS,Kalian Sams,Curacao Neptunus_2014
SANDEN vd,Sven van de Sanden,Kinheim_2018
SCHIPPERUS,Mark Schipperus,Euro Stars_2011
SCHOEMAKER,Brendan Schoemaker,Euro Stars_2011
SCHOEMAKER Brendan,Brendan Schoemaker,Euro Stars_2011
SCHOONDERWOE,Martijn Schoonderwoerd,Kinheim_2016
SCHOONDERWOE,Martijn Schoonderwoerd,Kinheim_2018
SCHOONDERWOE,Martijn Schoonderwoerd,Kinheim_2019
SCHOONDERWOERD Marti,Martijn Schoonderwoerd,Kinheim_2018
SCHOONDERWOERD Marti,Martijn Schoonderwoerd,Kinheim_2019
SCHOONDERWOERD Marti ,Martijn Schoonderwoerd,Kinheim_2018
SCHOONDERWOERD Marti ,Martijn Schoonderwoerd,Kinheim_2019
SCHOONDERWOERDMartij,Martijn Schoonderwoerd,Kinheim_2016
SCHUTTE,Matz Schutte,HCAW_2014
SCHUTTE Matz,Matz Schutte,HCAW_2014
SEWALT,Rob Sewalt,Onze Gezellen_2017
SIENDERS,Louis Sienders,Mampaey Hawks_2012
SIMMONDS,Calvin Simmonds,Euro Stars_2011
SMEETS,Tommy Smeets,Twins_2013
SOEDERHUIJSE,Thomas Soederhuijsen,Mampaey Hawks_2012
SOMMERuke,Luke Sommer,Kinheim_2012
SPIJKER,Jordi Spijker,Hoofddorp Pioniers_2011
SPROTT,Jeffrey Sprott,Euro Stars_2011
STEIJL,Dion Steijl,Hoofddorp Pioniers_2017
STEIJL Dion,Dion Steijl,Hoofddorp Pioniers_2017
STEWART,Orlande Stewart,Euro Stars_2011
STEWART Orlande,Orlande Stewart,Euro Stars_2011
STUIFBERGENN,Nick Stuifbergen,Kinheim_2011
STUT,Lennart Stut,DSS_2014
TARAPACKI,Derek Tarapacki,UVV_2010
TARAPACKI Derek,Derek Tarapacki,UVV_2010
THOMPSON,Jair Thompson,UVV_2010
TIMMERMANS,Rick Timmermans,Kinheim_2018
TIMMERMANS,Rick Timmermans,Kinheim_2019
TIMMERMANS Rick,Rick Timmermans,Kinheim_2018
TIMMERMANS Rick,Rick Timmermans,Kinheim_2019
TOLENAARS,Marcel Tolenaars,Kinheim_2018
TOLENAARS,Marcel Tolenaars,Kinheim_2019
TREMUS,Shurty Tremus,Twins_2013
TREMUS,Shurty Tremus,Twins_2015
TROMP,Enrique Tromp,AdoLakers_2013
VEER vd,Tom van der Veer,HCAW_2012
VERHEYLEWEGH,Jamie Verheylewegen,Twins_2017
VERHEYLEWEGH,Jamie Verheylewegen,Twins_2019
VERHEYLEWEGH,Jamie Verheylewegen,UVV_2015
VERHEYLEWEGHEN Jamie,Jamie Verheylewegen,UVV_2015
VERNOOIJ,Rien Vernooij,Curacao Neptunus_2010
VIERSEN van,Hylke van Viersen,UVV_2010
VIERSEN van Hylke,Hylke van Viersen,UVV_2010
VISSER,Seb Visser,DSS_2014
VOGELAARars,Lars Vogelaar,DSS_2017
VOGELAARars,Lars Vogelaar,DSS_2018
VOORN,Ricky Voorn,Silicon Storks_2017
VOORN Ricky,Ricky Voorn,Silicon Storks_2017
VREEKEN,Tom Vreeken,Onze Gezellen_2017
VROLIJK,Anthony Vrolijk,Twins_2013
VROLIJK,Anthony Vrolijk,Twins_2015
VRUTAAL,Tair Vrutaal,Twins_2015
VUISTER,Mathijs Vuister,UVV_2010
WASSINK,Glenn Wassink,Kinheim_2018
WASSINK,Glenn Wassink,Kinheim_2019
WASSINK Glenn,Glenn Wassink,Kinheim_2018
WASSINK Glenn,Glenn Wassink,Kinheim_2019
WEDMAN,Don Wedman,Kinheim_2018
WEDMAN,Don Wedman,Kinheim_2019
WEERT,Dexter de Weert,HCAW_2017
WEERT de,Dexter de Weert,HCAW_2014
WEERT v,Niels van Weert,Quick Amersfoort_2017
WEIS,Niels Weis,Silicon Storks_2017
WERKMANars,Lars Vogelaar,DSS_2019
WHARWOOD,Steven Wharwood,Mampaey Hawks_2012
WHEELER,Cameron Wheeler,UVV_2010
WHEELER Cameron,Cameron Wheeler,UVV_2010
WIESEMANN,Morris Wiesemann,Hoofddorp Pioniers_2016
WIESEMANN Morris,Morris Wiesemann,Hoofddorp Pioniers_2016
WIJK v,Sam van Wijk,Mampaey Hawks_2012
WIJST vd,Oliver van de Wijst,Hoofddorp Pioniers_2017
WILDE de,Maarten de Wilde,UVV_2010
WILLIAMS,Chris Williams,Curacao Neptunus_2014
WINDSTER,Kevin Windster,Quick Amersfoort_2017
WINDT de Q,Quinlan de Windt,Silicon Storks_2017
WINDT de T,Tyron de Windt,Silicon Storks_2017
WINKEL,Jeremy Winkel,AdoLakers_2013
WINKEL,Nick Winkel,Silicon Storks_2017
WINKEL Nick,Nick Winkel,Silicon Storks_2017
WITSTOK,Joris Witstok,UVV_2013
ZEGWAARD,Pascal Zegwaard,HCAW_2018
ZEGWAART,Pascal Zegwaard,HCAW_2016
