PlayerName,Year,League,gs,g,ip_value,ip_label,h,r,er,bb,so,hbp,ibb,ab,bf,fo,go,np,Win,Loss,Save,era_value,era_label,wlp_value,wlp_label,whip_value,whip_label,h9_value,h9_label,bb9_value,bb9_label,so9_value,so9_label,sobb_value,sobb_label
Rudy Seebus,2010,Hoofdklasse Honkbal (NLD),7,15,57.33333333333333,57.1,59,28,22,28,23,4,1,221,256,62,73,0,4,3,1,3.4534883720930236,3.45,0.5714285714285714,.571,1.5174418604651163,1.517,9.261627906976745,9.3,4.395348837209303,4.4,3.61046511627907,3.6,0.8214285714285714,0.8
Rudy Seebus,2011,Hoofdklasse Honkbal (NLD),6,12,40.66666666666667,40.2,61,45,32,19,9,7,1,169,206,55,42,0,1,4,0,7.081967213114753,7.08,0.2,.200,1.967213114754098,1.967,13.499999999999998,13.5,4.2049180327868845,4.2,1.9918032786885242,2.0,0.47368421052631576,0.5
Rutger Veugelers,2011,Hoofdklasse Honkbal (NLD),0,1,1.0,1.0,0,0,0,0,0,1,0,3,4,1,2,0,0,0,0,0.0,0.0,0.0,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Oduber,2018,Hoofdklasse Honkbal (NLD),1,9,14.0,14.0,16,18,10,12,8,1,0,60,73,16,15,257,0,2,0,6.428571428571429,6.43,0.0,.000,2.0,2.0,10.285714285714286,10.3,7.714285714285714,7.7,5.142857142857143,5.1,0.6666666666666666,0.7
SAKASHITA Sora,2020,Hoofdklasse Honkbal (NLD),18,18,105.33333333333334,105.1,100,46,34,50,74,10,0,398,460,120,102,1742,6,4,0,2.9050632911392404,2.91,0.6,.600,1.4240506329113922,1.424,8.544303797468354,8.5,4.272151898734177,4.3,6.322784810126581,6.3,1.48,1.5
SANCHEZ Diornick,2020,Hoofdklasse Honkbal (NLD),4,30,67.33333333333333,67.1,80,70,56,70,34,18,4,258,352,72,68,1280,4,12,0,7.485148514851486,7.49,0.25,.250,2.227722772277228,2.228,10.693069306930694,10.7,9.356435643564357,9.4,4.544554455445545,4.5,0.4857142857142857,0.5
SOWERS William,2020,Hoofdklasse Honkbal (NLD),0,20,39.99999999999999,39.0,98,64,60,18,8,2,0,212,236,64,38,778,0,2,0,13.500000000000002,13.5,0.0,.000,2.9000000000000004,2.9,22.050000000000004,22.1,4.050000000000001,4.1,1.8000000000000003,1.8,0.4444444444444444,0.4
STEENWIJK Thijs,2020,Hoofdklasse Honkbal (NLD),0,8,10.0,10.0,10,8,8,10,8,0,0,38,50,12,10,184,0,2,0,7.2,7.2,0.0,.000,2.0,2.0,9.0,9.0,9.0,9.0,7.2,7.2,0.8,0.8
STUART Chris,2020,Hoofdklasse Honkbal (NLD),0,4,4.0,4.0,0,0,0,4,4,0,0,12,16,2,6,66,0,0,0,0.0,0.0,0.0,.000,1.0,1.0,0.0,0.0,9.0,9.0,9.0,9.0,1.0,1.0
SULBARAN Juan Carlos,2020,Hoofdklasse Honkbal (NLD),16,16,91.99999999999999,91.0,88,38,36,18,76,10,0,350,388,90,102,1408,12,4,0,3.521739130434783,3.52,0.75,.750,1.1521739130434785,1.152,8.608695652173914,8.6,1.7608695652173916,1.8,7.434782608695653,7.4,4.222222222222222,4.2
Sander Helmendach,2012,Hoofdklasse Honkbal (NLD),10,18,74.0,74.0,76,53,43,53,53,11,5,283,354,78,71,1255,6,7,1,5.22972972972973,5.23,0.46153846153846156,.461,1.7432432432432432,1.743,9.243243243243244,9.2,6.445945945945946,6.4,6.445945945945946,6.4,1.0,1.0
Sander Helmendach,2013,Hoofdklasse Honkbal (NLD),15,16,68.33333333333333,68.1,68,44,34,33,38,4,1,268,316,105,54,1193,1,7,0,4.478048780487805,4.48,0.125,.125,1.478048780487805,1.478,8.95609756097561,9.0,4.3463414634146345,4.3,5.004878048780488,5.0,1.1515151515151516,1.2
Sander Helmendach,2014,Hoofdklasse Honkbal (NLD),17,17,90.0,90.0,100,54,44,55,56,5,2,347,419,112,81,1658,3,8,0,4.4,4.4,0.2727272727272727,.272,1.7222222222222223,1.722,10.0,10.0,5.5,5.5,5.6,5.6,1.018181818181818,1.0
Sander Helmendach,2015,Hoofdklasse Honkbal (NLD),17,17,94.33333333333331,94.1,113,64,54,41,63,11,0,376,438,110,89,1577,3,11,0,5.151943462897528,5.15,0.21428571428571427,.214,1.6325088339222618,1.633,10.780918727915196,10.8,3.9116607773851597,3.9,6.010600706713782,6.0,1.5365853658536586,1.5
Sander Helmendach,2016,Hoofdklasse Honkbal (NLD),6,13,37.33333333333333,37.1,36,36,26,31,22,8,1,137,181,40,41,682,1,6,0,6.267857142857143,6.27,0.14285714285714285,.142,1.7946428571428574,1.795,8.678571428571429,8.7,7.4732142857142865,7.5,5.303571428571429,5.3,0.7096774193548387,0.7
Sander Helmendach,2017,Hoofdklasse Honkbal (NLD),12,16,63.66666666666667,63.2,87,64,54,50,37,6,0,268,328,84,59,1228,0,9,0,7.633507853403141,7.63,0.0,.000,2.151832460732984,2.152,12.298429319371726,12.3,7.0680628272251305,7.1,5.230366492146596,5.2,0.74,0.7
Sander Helmendach,2018,Hoofdklasse Honkbal (NLD),12,16,80.33333333333334,80.1,65,40,34,50,53,9,1,294,360,93,84,1332,4,6,0,3.8091286307053935,3.81,0.4,.400,1.4315352697095434,1.432,7.282157676348547,7.3,5.601659751037344,5.6,5.937759336099584,5.9,1.06,1.1
Sander Helmendach,2019,Hoofdklasse Honkbal (NLD),7,20,66.0,66.0,84,54,44,39,43,11,1,267,321,66,72,1165,3,2,2,6.0,6.0,0.6,.600,1.8636363636363635,1.864,11.454545454545455,11.5,5.318181818181818,5.3,5.863636363636363,5.9,1.1025641025641026,1.1
Sander Klop,2010,Hoofdklasse Honkbal (NLD),0,6,9.666666666666666,9.2,7,2,2,8,12,0,0,33,41,6,7,0,1,0,1,1.8620689655172415,1.86,1.0,1.000,1.5517241379310345,1.552,6.517241379310345,6.5,7.448275862068966,7.4,11.172413793103448,11.2,1.5,1.5
Sander Klop,2011,Hoofdklasse Honkbal (NLD),0,2,1.3333333333333333,1.1,1,4,1,3,0,0,0,6,9,2,2,0,0,0,0,6.75,6.75,0.0,.000,3.0,3.0,6.75,6.8,20.25,20.2,0.0,0.0,0.0,0.0
Sander Paap,2015,Hoofdklasse Honkbal (NLD),0,1,1.0,1.0,2,1,1,0,0,0,0,4,5,3,0,11,0,0,0,9.0,9.0,0.0,.000,2.0,2.0,18.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0
Sander Paap,2018,Hoofdklasse Honkbal (NLD),0,1,1.6666666666666665,1.2,3,5,5,3,2,0,0,8,11,2,1,47,0,0,0,27.000000000000004,27.0,0.0,.000,3.6000000000000005,3.6,16.200000000000003,16.2,16.200000000000003,16.2,10.8,10.8,0.6666666666666666,0.7
Scott Prins,2018,Hoofdklasse Honkbal (NLD),10,12,59.666666666666664,59.2,48,24,17,23,44,5,0,212,249,62,60,899,4,3,0,2.564245810055866,2.56,0.5714285714285714,.571,1.1899441340782124,1.19,7.240223463687151,7.2,3.46927374301676,3.5,6.636871508379889,6.6,1.9130434782608696,1.9
