PlayerName,FirstAppearance,LatestAppearance,g,pa,ab,r,h,rbi,2b,3b,hr,bb,sb,cs,hbp,sh,sf,so,ibb,gdp,MainPos,Pos_1b,Pos_2b,Pos_3b,Pos_c,Pos_cf,Pos_dh,Pos_lf,Pos_p,Pos_ph,Pos_pr,Pos_rf,Pos_ss,avg_value,avg_label,obp_value,obp_label,slg_value,slg_label,ops_value,ops_label,iso_value,iso_label
Max Markies,"May 1, 2018 (DSS - <b>L&D Amsterdam Pirates</b>)","August 15, 2018 (Hoofddorp Pioniers - <b>L&D Amsterdam Pirates</b>)",6,17,14,1,1,0,0,0,0,2,0,0,1,0,0,6,0,1,Left Fielder,0,0,0,0,0,2,4,0,0,0,0,0,0.07142857142857142,.071,0.3405208538749753,.340,0.07142857142857142,.071,0.3067226890756303,.306,0.0,.000
Max Ploegstra,"September 27, 2014 (Mampaey Hawks - <b>DSS</b>)","August 28, 2016 (<b>DSS</b> - UVV)",67,9,5,2,2,2,0,0,0,4,0,0,0,0,0,1,0,0,Pitcher,0,0,0,0,0,0,2,63,0,1,2,0,0.4,.400,0.3405389417122152,.340,0.4,.400,1.0666666666666667,1.000,0.0,.000
Mayron Girigori,"August 1, 2013 (Curacao Neptunus - <b>AdoLakers</b>)","August 28, 2014 (<b>AdoLakers</b> - Mampaey Hawks)",12,21,19,1,1,1,0,0,0,1,0,0,0,1,0,8,0,0,Left Fielder,0,0,0,0,2,0,7,0,2,1,3,0,0.05263157894736842,.052,0.3405072026222721,.340,0.05263157894736842,.052,0.14786967418546365,.147,0.0,.000
Mees Cremer,"August 19, 2017 (UVV - <b>Quick Amersfoort</b>)","September 9, 2018 (<b>Quick Amersfoort</b> - Silicon Storks)",17,2,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,Pitcher,0,0,0,0,0,0,0,16,1,0,0,0,0.0,.000,0.34050300670347006,.340,0.0,.000,0.0,.000,0.0,.000
Melvin Perdue,"April 15, 2016 (UVV - <b>DSS</b>)","September 17, 2017 (Quick Amersfoort - <b>Twins</b>)",92,386,338,44,100,39,10,4,1,40,9,3,1,2,5,34,0,5,Center Fielder,0,2,0,0,67,1,23,0,0,0,0,0,0.2958579881656805,.295,0.34056180465916774,.340,0.35798816568047337,.357,0.7232731397737376,.723,0.0621301775147929,.062
Menno Lenting,"April 15, 2016 (UVV - <b>DSS</b>)","August 27, 2017 (<b>Twins</b> - Onze Gezellen)",78,276,233,21,59,16,5,2,0,37,7,10,0,5,1,52,0,6,Third Baseman,0,37,38,0,0,5,0,0,5,2,1,0,0.2532188841201717,.253,0.34057410748254235,.340,0.2918454935622318,.291,0.6396715805187535,.639,0.03862660944206009,.038
Mervin Gario,"April 10, 2010 (HCAW - <b>Hoofddorp Pioniers</b>)","August 1, 2019 (Curacao Neptunus - <b>Hoofddorp Pioniers</b>)",427,1824,1451,326,452,201,76,9,15,233,80,23,94,25,13,238,8,34,Third Baseman,4,6,372,0,0,45,2,2,10,3,1,3,0.31150930392832527,.311,0.34158019297287456,.341,0.4073053066850448,.407,0.8387746049306588,.838,0.0957960027567195,.095
Mic van de Ven,"June 12, 2016 (<b>Twins</b> - Curacao Neptunus)","April 25, 2019 (<b>Twins</b> - L&D Amsterdam Pirates)",31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Pitcher,0,0,0,0,0,0,0,31,0,0,0,0,0.0,.000,0.34158019297287456,.341,0.0,.000,,.000,0.0,.000
Michael Duursma,"April 10, 2010 (HCAW - <b>Hoofddorp Pioniers</b>)","October 8, 2016 (Curacao Neptunus - <b>L&D Amsterdam Pirates</b>)",338,1556,1165,227,309,164,59,5,0,238,41,19,72,59,15,110,7,15,Shortstop,0,23,0,0,0,0,0,0,1,0,0,316,0.2652360515021459,.265,0.3421482933163406,.342,0.3244635193133047,.324,0.7267771439919679,.726,0.0592274678111588,.059
Michael Kramer,"April 10, 2010 (<b>L&D Amsterdam Pirates</b> - AdoLakers)","September 18, 2010 (<b>L&D Amsterdam Pirates</b> - Curacao Neptunus)",46,164,137,16,27,13,5,1,0,17,4,2,3,7,0,31,0,5,Center Fielder,0,0,0,0,26,3,18,0,1,1,0,0,0.19708029197080293,.197,0.34209356795387663,.342,0.24817518248175183,.248,0.5347605483354103,.534,0.051094890510948905,.051
