PlayerName,Year,League,g,pa,ab,r,h,rbi,2b,3b,hr,bb,sb,cs,hbp,sh,sf,so,ibb,gdp,MainPos,Pos_1b,Pos_2b,Pos_3b,Pos_c,Pos_cf,Pos_dh,Pos_lf,Pos_p,Pos_ph,Pos_pr,Pos_rf,Pos_ss,avg_value,avg_label,obp_value,obp_label,slg_value,slg_label,ops_value,ops_label,iso_value,iso_label
"
Gianfranco Wawoe
",2015,A-MIDW,94,355,315,49,83,28,13,0,8,27,11,7,3,7,3,52,0,10,Second Baseman,0,38,10,0,1,0,8,0,0,0,2,21,0.2634920634920635,.263,0.3265006579613321,.326,0.38095238095238093,.380,0.6992622401073105,.699,0.11746031746031746,.117
"
Gianfranco Wawoe
",2015,AA-SOUL,4,12,12,1,4,0,2,0,0,0,0,1,0,0,0,1,0,0,Second Baseman,0,3,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,.333,0.3265048052604957,.326,0.5,.500,0.8333333333333333,.833,0.16666666666666666,.166
"
Gianfranco Wawoe
",2016,A+-CALL,101,444,396,72,114,55,17,0,8,32,12,5,3,9,3,61,1,7,Second Baseman,0,91,0,0,0,0,0,0,0,0,0,0,0.2878787878787879,.287,0.32675373503512417,.326,0.39141414141414144,.391,0.7292519792519793,.729,0.10353535353535354,.103
"
Gianfranco Wawoe
",2017,A+-CALL,97,411,374,36,101,62,17,6,2,23,15,6,4,6,4,59,0,8,Second Baseman,0,34,15,0,0,0,8,0,0,0,5,0,0.2700534759358289,.270,0.3264484848484848,.326,0.36363636363636365,.363,0.6750718867507188,.675,0.09358288770053476,.093
"
Gianfranco Wawoe
",2017,AA-TL,14,61,58,8,14,7,5,0,0,2,2,0,0,0,1,8,0,1,Second Baseman,0,14,0,0,0,0,0,0,0,0,0,0,0.2413793103448276,.241,0.32625930581069323,.326,0.3275862068965517,.327,0.5898812888637648,.589,0.08620689655172414,.086
"
Gianfranco Wawoe
",2017,AAA-PCL,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Second Baseman,0,2,0,0,0,0,0,0,0,0,0,0,0.0,.000,0.32616470133384884,.326,0.0,.000,0.0,.000,0.0,.000
"
Givaine Basilia
",2018,FRk-DOSL,47,158,139,24,30,11,5,1,0,16,26,6,2,1,0,43,0,1,Second Baseman,0,40,0,0,0,0,0,0,0,0,0,0,0.2158273381294964,.215,0.3259952038369305,.325,0.26618705035971224,.266,0.5699845187141426,.569,0.050359712230215826,.050
"
Givaine Basilia
",2019,Rk-ARIZ,42,149,131,23,31,10,3,2,1,12,8,3,3,3,0,45,0,4,Second Baseman,0,27,2,0,0,0,6,0,0,0,0,0,0.2366412213740458,.236,0.32587266060288583,.325,0.31297709923664124,.312,0.6217019314514063,.621,0.07633587786259542,.076
"
Izzy Wilson
",2015,Rk-GULF,48,173,144,29,32,22,5,1,10,26,3,4,2,1,0,56,0,1,Right Fielder,0,0,0,0,15,0,0,0,0,0,26,0,0.2222222222222222,.222,0.32604383147553373,.326,0.4791666666666667,.479,0.8259874759152216,.825,0.2569444444444444,.256
"
Izzy Wilson
",2016,Rk-APPY,38,146,130,19,25,12,8,1,2,14,6,2,1,1,0,51,0,1,Center Fielder,0,0,0,0,22,0,0,0,0,0,14,0,0.19230769230769232,.192,0.3256872126841167,.325,0.3153846153846154,.315,0.5893572181243414,.589,0.12307692307692308,.123
