Name,Id,league
Thairo Estrada,642731,MLB
Demarcus Evans,663770,MLB
Phillip Evans,595943,MLB
Pete Fairbanks,664126,MLB
Jeurys Familia,544727,MLB
Buck Farmer,571656,MLB
Kyle Farmer,571657,MLB
Luke Farrell,608652,MLB
Erick Fedde,607200,MLB
Michael Feliz,593140,MLB
Caleb Ferguson,657571,MLB
Junior Fernandez,658551,MLB
J.P. Feyereisen,656420,MLB
Mike Fiers,571666,MLB
Kyle Finnegan,640448,MLB
Derek Fisher,605233,MLB
Jack Flaherty,656427,MLB
Josh Fleming,676596,MLB
Aaron Fletcher,667465,MLB
David Fletcher,664058,MLB
Bernardo Flores Jr.,641576,MLB
Wilmer Flores,527038,MLB
Estevan Florial,664314,MLB
Dylan Floro,571670,MLB
Tyler Flowers,452095,MLB
Mike Foltynewicz,592314,MLB
Wilmer Font,521655,MLB
Mike Ford,645801,MLB
Logan Forsythe,523253,MLB
Matt Foster,641582,MLB
Dexter Fowler,451594,MLB
Jake Fraley,641584,MLB
Ty France,664034,MLB
Maikel Franco,596748,MLB
Seth Frankoff,571676,MLB
Adam Frazier,624428,MLB
Clint Frazier,640449,MLB
Todd Frazier,453943,MLB
Kyle Freeland,607536,MLB
Freddie Freeman,518692,MLB
Mike Freeman,502273,MLB
Sam Freeman,518693,MLB
Max Fried,608331,MLB
Jace Fry,605240,MLB
Paul Fry,643316,MLB
Josh Fuentes,658069,MLB
Carson Fulmer,608334,MLB
Michael Fulmer,605242,MLB
Kyle Funkhouser,608335,MLB
Cam Gallagher,595956,MLB
Giovanny Gallegos,606149,MLB
Zac Gallen,668678,MLB
Joey Gallo,608336,MLB
Freddy Galvis,520471,MLB
Ben Gamel,592325,MLB
John Gant,607231,MLB
Adolis Garcia,666969,MLB
Avisail Garcia,541645,MLB
Bryan Garcia,650530,MLB
Deivi Garcia,665620,MLB
Edgar Garcia,658305,MLB
Greg Garcia,594824,MLB
Jarlin Garcia,606424,MLB
Jose Garcia,676480,MLB
Leury Garcia,544725,MLB
Luis Garcia,472610,MLB
Rico Garcia,670329,MLB
Rony Garcia,665621,MLB
Yimi Garcia,554340,MLB
Brett Gardner,458731,MLB
Kyle Garlick,664247,MLB
Dustin Garneau,572863,MLB
Amir Garrett,607237,MLB
Braxton Garrett,666129,MLB
Mitch Garver,641598,MLB
Kevin Gausman,592332,MLB
Sam Gaviglio,543208,MLB
Cory Gearrin,518715,MLB
Joey Gerber,680702,MLB
Ian Gibaut,664139,MLB
Kyle Gibson,502043,MLB
Ken Giles,571704,MLB
Sean Gilmartin,543219,MLB
Andres Gimenez,665926,MLB
Kevin Ginkel,656464,MLB
Lucas Giolito,608337,MLB
Mychal Givens,571710,MLB
Tyler Glasnow,607192,MLB
Zack Godley,643327,MLB
Ryan Goins,572365,MLB
Paul Goldschmidt,502671,MLB
Austin Gomber,596295,MLB
Yan Gomes,543228,MLB
Tony Gonsolin,664062,MLB
Marco Gonzales,594835,MLB
Chi Chi Gonzalez,592346,MLB
Erik Gonzalez,570481,MLB
Gio Gonzalez,461829,MLB
Luis Gonzalez,670768,MLB
Marwin Gonzalez,503556,MLB
Victor Gonzalez,624647,MLB
Niko Goodrum,592348,MLB
Brian Goodwin,571718,MLB
Nick Goody,580792,MLB
Alex Gordon,460086,MLB
Terrance Gore,605253,MLB
Phil Gosselin,594838,MLB
Trevor Gott,641627,MLB
Ashton Goudeau,623485,MLB
Matt Grace,594840,MLB
Yasmani Grandal,518735,MLB
Brusdar Graterol,660813,MLB
Kendall Graveman,608665,MLB
Jon Gray,592351,MLB
Sonny Gray,543243,MLB
Chad Green,643338,MLB
Shane Greene,572888,MLB
Didi Gregorius,544369,MLB
Grayson Greiner,606988,MLB
Zack Greinke,425844,MLB
Randal Grichuk,545341,MLB
Foster Griffin,656492,MLB
Justin Grimm,518748,MLB
Trent Grisham,663757,MLB
Robbie Grossman,543257,MLB
Zac Grotz,665093,MLB
Deivy Grullon,620453,MLB
Robert Gsellman,607229,MLB
Deolis Guerra,500610,MLB
Javy Guerra,642770,MLB
Junior Guerra,448855,MLB
Vladimir Guerrero Jr.,665489,MLB
Taylor Guilbeau,607555,MLB
Luis Guillorme,641645,MLB
Lourdes Gurriel Jr.,666971,MLB
Yuli Gurriel,493329,MLB
Kelvin Gutierrez,642721,MLB
Jorge Guzman,660422,MLB
Ronald Guzman,608597,MLB
Jedd Gyorko,576397,MLB
Eric Haase,606992,MLB
Josh Hader,623352,MLB
Sam Haggerty,664059,MLB
Jesse Hahn,534910,MLB
David Hale,571735,MLB
Matt Hall,664180,MLB
Cole Hamels,430935,MLB
Billy Hamilton,571740,MLB
Ian Hamilton,641656,MLB
Garrett Hampson,641658,MLB
Brad Hand,543272,MLB
Ian Happ,664023,MLB
J.A. Happ,457918,MLB
Bryce Harper,547180,MLB
Ryne Harper,607560,MLB
Will Harris,501789,MLB
Josh Harrison,543281,MLB
Monte Harrison,656509,MLB
Kyle Hart,606996,MLB
Geoff Hartlieb,664129,MLB
Hunter Harvey,640451,MLB
Joe Harvey,642840,MLB
Matt Harvey,518774,MLB
Adam Haseley,656514,MLB
Thomas Hatch,641672,MLB
Ke'Bryan Hayes,663647,MLB
Austin Hays,669720,MLB
Ryon Healy,592387,MLB
Andrew Heaney,571760,MLB
Taylor Hearn,621368,MLB
Nick Heath,670084,MLB
Adeiny Hechavarria,588751,MLB
Austin Hedges,595978,MLB
Jonah Heim,641680,MLB
Scott Heineman,595981,MLB
Tyler Heineman,623168,MLB
Ben Heller,621294,MLB
Ryan Helsley,664854,MLB
Heath Hembree,592390,MLB
Kyle Hendricks,543294,MLB
Liam Hendriks,521230,MLB
Guillermo Heredia,628338,MLB
Jimmy Herget,623474,MLB
Michael Hermosillo,641684,MLB
Carlos Hernandez,672578,MLB
Cesar Hernandez,514917,MLB
Darwinzon Hernandez,650382,MLB
Elieser Hernandez,622694,MLB
Enrique Hernandez,571771,MLB
Jonathan Hernandez,642546,MLB
Oscar Hernandez,591712,MLB
Teoscar Hernandez,606192,MLB
Yadiel Hernandez,628450,MLB
Dilson Herrera,599096,MLB
Kelvin Herrera,516969,MLB
David Hess,605276,MLB
Codi Heuer,676051,MLB
Jason Heyward,518792,MLB
Aaron Hicks,543305,MLB
Kyle Higashioka,543309,MLB
Cam Hill,657611,MLB
Derek Hill,656537,MLB
Rich Hill,448179,MLB
Tim Hill,657612,MLB
Sam Hilliard,656541,MLB
Yoshihisa Hirano,673633,MLB
Keston Hiura,669374,MLB
Nico Hoerner,663538,MLB
Jeff Hoffman,656546,MLB
Bryan Holaday,592407,MLB
Jonathan Holder,656547,MLB
Derek Holland,502706,MLB
Greg Holland,518813,MLB
Jordan Holloway,656548,MLB
Clay Holmes,605280,MLB
Brock Holt,571788,MLB
Rhys Hoskins,656555,MLB
Eric Hosmer,543333,MLB
Tanner Houck,656557,MLB
Adrian Houser,605288,MLB
Sam Howard,607572,MLB
